#######################################
#
# V-band photometry of SN II 2017eaw
#
#######################################
#
# Buta & Keel 2019, MNRAS, 487, 832
#
# JD           mag    error   Telescope
 2457995.38    13.980 0.044   Konkoly
 2457996.38    14.051 0.043   Konkoly
 2458001.33    14.384 0.030   Konkoly
 2458007.31    15.084 0.032   Konkoly
 2458012.30    15.530 0.027   Konkoly
 2458023.42    15.679 0.031   Konkoly
 2458024.42    15.698 0.029   Konkoly
 2458025.32    15.725 0.026   Konkoly
 2458026.30    15.754 0.021   Konkoly
 2458027.38    15.761 0.011   Konkoly
 2458028.33    15.816 0.009   Konkoly
 2458033.25    15.809 0.024   Konkoly
 2458036.25    15.886 0.009   Konkoly
 2458041.31    15.899 0.025   Konkoly
 2458042.34    15.916 0.013   Konkoly
 2458045.29    15.906 0.027   Konkoly
 2458047.22    15.944 0.025   Konkoly
 2458051.20    15.973 0.024   Konkoly
 2458056.45    16.069 0.026   Konkoly
 2458064.39    16.131 0.015   Konkoly
 2458065.31    16.139 0.023   Konkoly
 2458076.30    16.221 0.031   Konkoly
 2458095.29    16.407 0.030   Konkoly
 2458182.62    17.330 0.046   Konkoly
 2457889.35    12.992 0.022   LCO
 2457890.41    12.888 0.015   LCO
 2457892.43    12.807 0.016   LCO
 2457894.32    12.774 0.015   LCO
 2457896.41    12.855 0.022   LCO
 2457897.39    12.868 0.013   LCO
 2457898.31    12.869 0.022   LCO
 2457899.33    12.888 0.011   LCO
 2457903.31    12.933 0.029   LCO
 2457907.32    12.945 0.013   LCO
 2457908.36    12.868 0.013   LCO
 2457909.37    12.924 0.011   LCO
 2457910.35    12.920 0.010   LCO
 2457911.38    12.995 0.010   LCO
 2457918.34    13.037 0.014   LCO
 2457929.29    13.169 0.015   LCO
 2457935.32    13.164 0.014   LCO
 2457941.34    13.159 0.012   LCO
 2457945.30    13.193 0.011   LCO
 2457946.34    13.185 0.014   LCO
 2457962.33    13.221 0.011   LCO
 2457972.37    13.340 0.012   LCO
 2457973.33    13.345 0.014   LCO
 2457977.30    13.408 0.019   LCO
 2457996.31    13.907 0.038   LCO
 2458002.24    14.430 0.012   LCO
 2458003.34    14.489 0.016   LCO
 2458005.31    14.768 0.022   LCO
 2458006.32    14.868 0.013   LCO
 2458009.32    15.289 0.021   LCO
 2458010.30    15.379 0.018   LCO
 2458011.33    15.395 0.011   LCO
 2458019.28    15.651 0.015   LCO
 2458020.27    15.669 0.024   LCO
 2458029.25    15.756 0.022   LCO
 2458035.26    15.823 0.037   LCO
 2458036.23    15.781 0.022   LCO
 2458040.25    15.831 0.012   LCO
 2458044.23    15.868 0.014   LCO
 2458048.10    15.929 0.013   LCO
 2458052.12    15.970 0.020   LCO
 2458056.09    16.028 0.020   LCO
 2458060.16    16.061 0.010   LCO
 2458061.15    16.032 0.010   LCO
 2458072.12    16.045 0.036   LCO
 2458083.07    16.298 0.015   LCO
 2458100.07    16.449 0.029   LCO
 2458231.52    17.819 0.014   LCO
 2458246.55    17.984 0.026   LCO
 2458247.33    17.958 0.060   LCO
 2458255.52    18.030 0.010   LCO
 2458259.31    18.086 0.011   LCO
 2458268.42    18.253 0.027   LCO
 2458285.28    18.354 0.014   LCO
 2458293.27    18.506 0.034   LCO
 2458319.25    18.784 0.011   LCO
 2458336.40    19.045 0.022   LCO
 2458352.24    19.230 0.013   LCO
 2458375.31    19.434 0.025   LCO
 2458386.26    19.659 0.028   LCO
 2458393.22    19.757 0.053   LCO
 2458395.13    19.699 0.086   LCO
 2458400.18    19.771 0.011   LCO
 2458406.24    19.959 0.116   LCO
 2458427.05    20.159 0.025   LCO
 2457888.09    13.154 0.020   Swift
 2457902.58    12.976 0.022   Swift
 2457904.56    12.970 0.015   Swift
 2457907.09    12.947 0.015   Swift
 2457908.95    12.989 0.015   Swift
 2457910.68    13.029 0.015   Swift
 2457913.19    13.049 0.015   Swift
 2457914.79    13.050 0.015   Swift
 2457919.32    13.092 0.019   Swift
 2457921.30    13.164 0.015   Swift
 2457949.67    13.272 0.014   Swift
 2457963.09    13.337 0.014   Swift
 2457978.43    13.599 0.032   Swift
 2457981.68    13.572 0.024   Swift
 2457990.80    13.864 0.017   Swift
 2458005.15    14.942 0.038   Swift
 2458009.93    15.497 0.066   Swift
#######################################
#
# Tsvetkov et al. 2018, AstL, 44, 315
#
# JD            V     error   Telescope
 2457888.47    13.13  0.01    T60
 2457890.41    12.93  0.02    P40
 2457892.41    12.89  0.02    M70
 2457892.52    12.86  0.01    S100
 2457898.52    12.97  0.02    C60
 2457901.45    12.99  0.01    K250
 2457901.48    13.00  0.01    C60
 2457904.35    13.05  0.01    M70
 2457904.46    13.01  0.01    K250
 2457905.49    13.02  0.02    C60
 2457912.38    13.06  0.01    M70
 2457912.39    13.00  0.02    S100
 2457914.45    13.10  0.02    T18
 2457916.39    13.11  0.01    T60
 2457916.47    13.07  0.03    C70
 2457921.53    13.18  0.01    S100
 2457923.45    13.19  0.02    T60
 2457926.31    13.21  0.01    S100
 2457926.45    13.20  0.02    C70
 2457927.54    13.22  0.02    S100
 2457928.41    13.22  0.01    M70
 2457929.34    13.22  0.01    T60
 2457930.33    13.23  0.02    S100
 2457931.32    13.24  0.01    S100
 2457932.30    13.24  0.01    S100
 2457933.31    13.23  0.02    S100
 2457934.30    13.22  0.02    S100
 2457934.43    13.23  0.02    T60
 2457940.32    13.27  0.02    S100
 2457942.40    13.28  0.01    S100
 2457942.42    13.26  0.03    C70
 2457944.55    13.28  0.02    S100
 2457956.46    13.30  0.03    C70
 2457960.50    13.33  0.02    T60
 2457966.33    13.38  0.02    M20
 2457967.56    13.37  0.02    T60
 2457972.28    13.41  0.02    S100
 2457975.57    13.43  0.02    S60
 2457978.50    13.51  0.01    S100
 2457980.47    13.55  0.01    S100
 2457981.36    13.58  0.02    M20
 2457982.53    13.59  0.01    T60
 2457985.54    13.63  0.02    S100
 2457986.29    13.67  0.02    M20
 2457990.37    13.80  0.02    S60
 2457990.48    13.81  0.01    T60
 2457991.38    13.86  0.01    C60
 2457992.49    13.88  0.01    C60
 2457992.58    13.88  0.01    S60
 2457993.53    13.94  0.02    C60
 2457994.46    13.99  0.01    C60
 2457995.37    13.99  0.02    P40
 2457995.45    14.02  0.01    T60
 2457997.30    14.07  0.02    P40
 2457997.33    14.15  0.03    M20
 2457998.36    14.14  0.02    P40
 2457999.44    14.14  0.05    C70
 2458004.29    14.77  0.01    C60
 2458005.37    14.90  0.01    C60
 2458006.32    15.03  0.01    C60
 2458007.26    15.15  0.01    C60
 2458008.30    15.28  0.01    C60
 2458009.25    15.38  0.01    C60
 2458009.32    15.37  0.05    M20
 2458009.47    15.27  0.05    C70
 2458011.44    15.43  0.08    C70
 2458013.43    15.45  0.05    C70
 2458014.31    15.49  0.02    P40
 2458019.19    15.72  0.04    M20
 2458019.45    15.62  0.04    P40
 2458021.28    15.64  0.05    P40
 2458022.30    15.74  0.01    T60
 2458023.21    15.72  0.06    M70
 2458025.38    15.73  0.05    C70
 2458027.35    15.72  0.06    C70
 2458028.43    15.80  0.02    T60
 2458029.40    15.71  0.06    C70
 2458044.15    15.82  0.09    M70
 2458052.30    16.00  0.02    T60
 2458061.15    16.16  0.03    C60
 2458063.14    16.18  0.01    C60
 2458074.22    16.31  0.02    C60
 2458075.27    16.33  0.02    C60
 2458076.20    16.34  0.02    C60
 2458095.22    16.43  0.02    T60
#######################################
# 
# Van Dyk et al. 2019, ApJ, 875, 136
#
# JD            V     error   Telescope
 2457890.582   12.90  0.01    pt5m    
 2457891.629   12.86  0.01    pt5m    
 2457892.623   12.85  0.01    pt5m    
 2457893.561   12.84  0.01    pt5m    
 2457896.624   12.89  0.01    pt5m    
 2457899.573   12.96  0.01    pt5m    
 2457900.630   12.97  0.01    pt5m    
 2457902.700   13.03  0.01    pt5m    
 2457903.538   13.00  0.01    pt5m    
 2457904.594   13.03  0.02    pt5m    
